Index,x_m,y_m,
178,3.17E-06,-4.46E-06,
179,3.36E-06,-4.43E-06,
180,3.55E-06,-4.41E-06,
181,3.74E-06,-4.39E-06,
182,3.90E-06,-4.32E-06,
183,4.02E-06,-4.16E-06,
184,4.13E-06,-3.97E-06,
185,4.23E-06,-3.78E-06,
186,4.33E-06,-3.59E-06,
187,4.44E-06,-3.40E-06,
188,4.54E-06,-3.21E-06,
189,4.64E-06,-3.03E-06,
190,4.74E-06,-2.84E-06,
191,4.85E-06,-2.65E-06,
192,4.95E-06,-2.46E-06,
193,5.05E-06,-2.27E-06,
194,5.16E-06,-2.08E-06,
195,5.26E-06,-1.89E-06,
196,5.36E-06,-1.70E-06,
197,5.46E-06,-1.51E-06,
198,5.57E-06,-1.32E-06,
199,5.67E-06,-1.13E-06,
200,5.77E-06,-9.42E-07,
201,5.88E-06,-7.53E-07,
202,5.98E-06,-5.63E-07,
203,6.08E-06,-3.74E-07,
204,6.19E-06,-1.84E-07,
205,6.29E-06,4.96E-09,
206,6.39E-06,1.94E-07,
207,6.42E-06,3.97E-07,
208,6.35E-06,6.15E-07,
209,6.27E-06,8.37E-07,
210,6.19E-06,1.06E-06,
211,6.10E-06,1.28E-06,
212,6.02E-06,1.50E-06,
213,5.93E-06,1.72E-06,
214,5.85E-06,1.94E-06,
215,5.77E-06,2.17E-06,
216,5.68E-06,2.39E-06,
217,5.60E-06,2.61E-06,
218,5.51E-06,2.83E-06,
219,5.43E-06,3.05E-06,
220,5.35E-06,3.27E-06,
221,5.26E-06,3.50E-06,
222,5.18E-06,3.72E-06,
223,5.09E-06,3.94E-06,
224,5.01E-06,4.16E-06,
225,4.92E-06,4.38E-06,
226,4.84E-06,4.60E-06,
227,4.76E-06,4.83E-06,
228,4.67E-06,5.05E-06,
229,4.58E-06,5.26E-06,
230,4.41E-06,5.42E-06,
231,4.17E-06,5.52E-06,
232,3.94E-06,5.62E-06,
233,3.70E-06,5.73E-06,
234,3.47E-06,5.83E-06,
235,3.24E-06,5.94E-06,
236,3.00E-06,6.04E-06,
237,2.77E-06,6.14E-06,
238,2.53E-06,6.25E-06,
239,2.30E-06,6.35E-06,
240,2.06E-06,6.46E-06,
241,1.83E-06,6.56E-06,
242,1.59E-06,6.66E-06,
243,1.36E-06,6.77E-06,
244,1.12E-06,6.87E-06,
245,8.89E-07,6.97E-06,
246,6.54E-07,7.08E-06,
247,4.19E-07,7.18E-06,
248,1.85E-07,7.29E-06,
249,-5.00E-08,7.39E-06,
250,-2.86E-07,7.49E-06,
251,-5.36E-07,7.48E-06,
252,-7.97E-07,7.39E-06,
253,-1.06E-06,7.31E-06,
254,-1.32E-06,7.22E-06,
255,-1.58E-06,7.14E-06,
256,-1.84E-06,7.05E-06,
257,-2.10E-06,6.96E-06,
258,-2.36E-06,6.88E-06,
259,-2.62E-06,6.79E-06,
260,-2.89E-06,6.70E-06,
261,-3.15E-06,6.62E-06,
262,-3.41E-06,6.53E-06,
263,-3.67E-06,6.45E-06,
264,-3.93E-06,6.36E-06,
265,-4.19E-06,6.27E-06,
266,-4.45E-06,6.19E-06,
267,-4.71E-06,6.10E-06,
268,-4.97E-06,6.01E-06,
269,-5.24E-06,5.93E-06,
270,-5.47E-06,5.81E-06,
271,-5.66E-06,5.60E-06,
272,-5.81E-06,5.35E-06,
273,-5.97E-06,5.11E-06,
274,-6.12E-06,4.86E-06,
275,-6.28E-06,4.61E-06,
276,-6.43E-06,4.36E-06,
