Index,x_m,y_m,
10820,-0.000243614,-5.15E-05,
10821,-0.000242285,-5.75E-05,
10822,-0.00024081,-6.35E-05,
10823,-0.00023919,-6.94E-05,
10824,-0.000237426,-7.53E-05,
10825,-0.000235519,-8.11E-05,
10826,-0.000233471,-8.69E-05,
10827,-0.000231278,-9.26E-05,
10828,-0.00022894,-9.83E-05,
10829,-0.000226462,-0.000103887,
10830,-0.000223848,-0.000109437,
10831,-0.0002211,-0.000114923,
10832,-0.000218218,-0.000120339,
10833,-0.000215205,-0.000125684,
10834,-0.000212063,-0.000130954,
10835,-0.000208793,-0.000136146,
10836,-0.000205395,-0.000141255,
10837,-0.000201869,-0.000146275,
10838,-0.000198217,-0.000151206,
10839,-0.000194447,-0.000156047,
10840,-0.00019056,-0.000160794,
10841,-0.000186558,-0.000165445,
10842,-0.000182445,-0.000169997,
10843,-0.000178221,-0.000174447,
10844,-0.00017389,-0.000178793,
10845,-0.000169454,-0.000183032,
10846,-0.000164912,-0.000187157,
10847,-0.000160266,-0.000191165,
10848,-0.000155525,-0.000195059,
10849,-0.00015069,-0.000198836,
10850,-0.000145765,-0.000202495,
10851,-0.000140751,-0.000206032,
10852,-0.000135654,-0.000209446,
10853,-0.000130474,-0.000212736,
10854,-0.000125216,-0.000215898,
10855,-0.00011988,-0.000218925,
10856,-0.000114468,-0.000221816,
10857,-0.000108987,-0.000224574,
10858,-0.000103441,-0.000227198,
10859,-9.78E-05,-0.000229686,
10860,-9.22E-05,-0.000232037,
10861,-8.64E-05,-0.000234249,
10862,-8.07E-05,-0.000236321,
10863,-7.48E-05,-0.000238252,
10864,-6.90E-05,-0.000240036,
10865,-6.31E-05,-0.000241671,
10866,-5.71E-05,-0.000243159,
10867,-5.11E-05,-0.000244502,
10868,-4.51E-05,-0.000245699,
10869,-3.91E-05,-0.000246749,
10870,-3.30E-05,-0.000247652,
10871,-2.69E-05,-0.000248408,
10872,-2.08E-05,-0.000249014,
10873,-1.47E-05,-0.000249469,
10874,-8.55E-06,-0.000249768,
10875,-2.41E-06,-0.000249915,
10876,3.72E-06,-0.000249913,
10877,9.86E-06,-0.000249761,
10878,1.60E-05,-0.000249461,
10879,2.21E-05,-0.000249011,
10880,2.82E-05,-0.000248413,
10881,3.43E-05,-0.000247667,
10882,4.04E-05,-0.000246771,
10883,4.64E-05,-0.000245721,
10884,5.24E-05,-0.00024452,
10885,5.84E-05,-0.000243174,
10886,6.44E-05,-0.000241682,
10887,7.03E-05,-0.000240046,
10888,7.62E-05,-0.000238267,
10889,8.20E-05,-0.000236346,
10890,8.78E-05,-0.000234283,
10891,9.35E-05,-0.000232081,
10892,9.92E-05,-0.000229734,
10893,0.000104763,-0.000227244,
10894,0.000110308,-0.000224619,
10895,0.000115788,-0.00022186,
10896,0.0001212,-0.000218969,
10897,0.00012654,-0.000215948,
10898,0.000131805,-0.000212797,
10899,0.000136992,-0.00020952,
10900,0.000142098,-0.000206118,
10901,0.000147116,-0.000202587,
10902,0.000152044,-0.000198931,
10903,0.00015688,-0.000195156,
10904,0.000161624,-0.000191265,
10905,0.000166272,-0.00018726,
10906,0.000170821,-0.000183143,
10907,0.000175269,-0.000178917,
10908,0.000179613,-0.000174584,
10909,0.000183851,-0.000170147,
10910,0.000187976,-0.000165605,
10911,0.000191986,-0.000160961,
10912,0.000195879,-0.000156219,
10913,0.000199657,-0.000151384,
10914,0.000203316,-0.00014646,
10915,0.000206855,-0.000141447,
10916,0.000210271,-0.000136351,
10917,0.000213563,-0.000131173,
10918,0.000216728,-0.000125917,
10919,0.000219762,-0.000120584,
10920,0.00022266,-0.000115176,
10921,0.000225423,-0.000109698,
10922,0.000228052,-0.000104154,
10923,0.000230546,-9.85E-05,
10924,0.000232904,-9.29E-05,
10925,0.000235124,-8.72E-05,
10926,0.000237204,-8.14E-05,
10927,0.000239144,-7.56E-05,
10928,0.000240941,-6.97E-05,
10929,0.000242589,-6.38E-05,
10930,0.000244088,-5.78E-05,
10931,0.000245443,-5.19E-05,
10932,0.000246652,-4.58E-05,
10933,0.000247715,-3.98E-05,
10934,0.000248632,-3.37E-05,
10935,0.000249401,-2.76E-05,
10936,0.000250023,-2.15E-05,
10937,0.000250497,-1.54E-05,
10938,0.000250816,-9.30E-06,
10939,0.00025098,-3.17E-06,
10940,0.000250995,2.97E-06,
10941,0.000250862,9.10E-06,
10942,0.00025058,1.52E-05,
10943,0.000250151,2.14E-05,
10944,0.000249573,2.75E-05,
10945,0.000248847,3.36E-05,
10946,0.000247975,3.96E-05,
10947,0.00024695,4.57E-05,
10948,0.000245772,5.17E-05,
10949,0.000244449,5.77E-05,
10950,0.00024298,6.36E-05,
10951,0.000241368,6.96E-05,
10952,0.000239613,7.54E-05,
10953,0.000237717,8.13E-05,
10954,0.00023568,8.71E-05,
10955,0.000233504,9.28E-05,
10956,0.000231185,9.85E-05,
10957,0.000228724,0.000104105,
10958,0.000226126,0.000109663,
10959,0.000223394,0.000115157,
10960,0.000220529,0.000120583,
10961,0.000217535,0.000125938,
10962,0.000214412,0.000131219,
10963,0.000211162,0.000136423,
10964,0.000207787,0.000141548,
10965,0.000204288,0.000146587,
10966,0.000200662,0.000151537,
10967,0.000196914,0.000156395,
10968,0.000193051,0.000161161,
10969,0.000189073,0.000165833,
10970,0.000184983,0.000170407,
10971,0.000180785,0.00017488,
10972,0.000176479,0.000179251,
10973,0.000172069,0.000183517,
10974,0.000167556,0.000187674,
10975,0.00016294,0.000191716,
10976,0.000158224,0.000195642,
10977,0.000153415,0.000199452,
10978,0.000148516,0.000203145,
10979,0.000143528,0.000206718,
10980,0.000138456,0.00021017,
10981,0.000133302,0.000213499,
10982,0.000128069,0.000216702,
10983,0.00012276,0.000219778,
10984,0.000117375,0.000222719,
10985,0.000111918,0.000225524,
10986,0.000106395,0.000228195,
10987,0.000100809,0.000230733,
10988,9.52E-05,0.000233135,
10989,8.95E-05,0.000235401,
10990,8.37E-05,0.000237528,
10991,7.79E-05,0.000239515,
10992,7.21E-05,0.000241362,
10993,6.62E-05,0.000243063,
10994,6.02E-05,0.000244614,
10995,5.42E-05,0.000246021,
10996,4.82E-05,0.000247282,
10997,4.22E-05,0.000248399,
10998,3.62E-05,0.00024937,
10999,3.01E-05,0.000250194,
11000,2.40E-05,0.000250871,
11001,1.79E-05,0.000251402,
11002,1.17E-05,0.000251781,
11003,5.60E-06,0.000252006,
11004,-5.30E-07,0.00025208,
11005,-6.67E-06,0.000252006,
11006,-1.28E-05,0.000251784,
11007,-1.89E-05,0.000251415,
11008,-2.50E-05,0.000250898,
11009,-3.11E-05,0.000250234,
11010,-3.72E-05,0.000249423,
11011,-4.33E-05,0.000248463,
11012,-4.93E-05,0.000247352,
11013,-5.53E-05,0.000246091,
11014,-6.13E-05,0.000244685,
11015,-6.72E-05,0.000243137,
11016,-7.31E-05,0.000241445,
11017,-7.90E-05,0.000239613,
11018,-8.48E-05,0.000237639,
11019,-9.05E-05,0.000235527,
11020,-9.63E-05,0.000233275,
11021,-0.000101904,0.000230881,
11022,-0.000107492,0.000228346,
11023,-0.000113017,0.000225677,
11024,-0.000118475,0.000222876,
11025,-0.000123865,0.000219945,
11026,-0.000129183,0.000216884,
11027,-0.000134426,0.000213697,
11028,-0.00013959,0.000210384,
11029,-0.000144673,0.000206947,
11030,-0.000149669,0.000203385,
11031,-0.000154573,0.000199698,
11032,-0.000159387,0.000195894,
11033,-0.000164108,0.000191975,
11034,-0.000168733,0.000187944,
11035,-0.00017326,0.000183802,
11036,-0.000177686,0.000179553,
11037,-0.000182008,0.000175199,
11038,-0.000186225,0.000170741,
11039,-0.00019033,0.000166181,
11040,-0.000194319,0.000161519,
11041,-0.000198193,0.000156761,
11042,-0.000201951,0.000151912,
11043,-0.000205592,0.000146973,
11044,-0.000209113,0.000141949,
11045,-0.000212512,0.000136841,
11046,-0.000215787,0.000131653,
11047,-0.000218937,0.000126387,
11048,-0.000221957,0.000121046,
11049,-0.000224842,0.000115631,
11050,-0.000227592,0.000110146,
11051,-0.00023021,0.000104597,
11052,-0.000232694,9.90E-05,
11053,-0.000235042,9.33E-05,
11054,-0.000237253,8.76E-05,
11055,-0.000239326,8.18E-05,
11056,-0.00024126,7.60E-05,
11057,-0.000243052,7.01E-05,
11058,-0.000244696,6.42E-05,
11059,-0.000246193,5.83E-05,
11060,-0.000247546,5.23E-05,
11061,-0.000248756,4.63E-05,
11062,-0.00024982,4.02E-05,
11063,-0.00025074,3.42E-05,
11064,-0.000251513,2.81E-05,
11065,-0.00025214,2.20E-05,
11066,-0.00025262,1.59E-05,
11067,-0.000252946,9.73E-06,
11068,-0.000253119,3.59E-06,
11069,-0.000253144,-2.54E-06,
11070,-0.000253023,-8.68E-06,
11071,-0.000252754,-1.48E-05,
11072,-0.000252338,-2.09E-05,
11073,-0.000251775,-2.70E-05,
11074,-0.000251066,-3.31E-05,
11075,-0.000250211,-3.92E-05,
11076,-0.000249205,-4.53E-05,
11077,-0.000248048,-5.13E-05,
11078,-0.000246745,-5.73E-05,
11079,-0.000245299,-6.32E-05,
11080,-0.00024371,-6.92E-05,
11081,-0.00024198,-7.51E-05,
11082,-0.000240109,-8.09E-05,
11083,-0.000238098,-8.67E-05,
11084,-0.000235949,-9.24E-05,
11085,-0.000233659,-9.81E-05,
11086,-0.000231227,-0.00010377,
11087,-0.000228658,-0.000109342,
11088,-0.000225957,-0.00011485,
11089,-0.000223124,-0.000120293,
11090,-0.000220162,-0.000125666,
11091,-0.000217072,-0.000130966,
11092,-0.000213855,-0.000136191,
11093,-0.000210514,-0.000141338,
11094,-0.000207049,-0.000146401,
11095,-0.000203458,-0.000151376,
11096,-0.000199746,-0.000156261,
11097,-0.000195918,-0.000161056,
11098,-0.000191976,-0.000165758,
11099,-0.000187922,-0.000170364,
11100,-0.00018376,-0.000174871,
11101,-0.00017949,-0.000179277,
11102,-0.000175116,-0.00018358,
11103,-0.00017064,-0.000187777,
11104,-0.00016606,-0.000191859,
11105,-0.00016138,-0.000195827,
11106,-0.000156606,-0.000199682,
11107,-0.000151742,-0.000203421,
11108,-0.000146789,-0.000207043,
11109,-0.000141752,-0.000210545,
11110,-0.000136631,-0.000213925,
11111,-0.000131432,-0.000217182,
11112,-0.000126155,-0.000220314,
11113,-0.000120802,-0.000223313,
11114,-0.000115376,-0.000226177,
11115,-0.000109883,-0.00022891,
11116,-0.000104326,-0.000231511,
11117,-9.87E-05,-0.000233979,
11118,-9.30E-05,-0.000236311,
11119,-8.73E-05,-0.000238506,
11120,-8.15E-05,-0.000240564,
11121,-7.57E-05,-0.000242484,
11122,-6.98E-05,-0.000244258,
11123,-6.39E-05,-0.000245885,
11124,-5.80E-05,-0.000247369,
11125,-5.20E-05,-0.00024871,
11126,-4.59E-05,-0.000249907,
11127,-3.99E-05,-0.00025096,
11128,-3.38E-05,-0.000251868,
11129,-2.77E-05,-0.000252631,
11130,-2.16E-05,-0.000253248,
11131,-1.55E-05,-0.000253716,
11132,-9.40E-06,-0.00025403,
11133,-3.27E-06,-0.000254195,
11134,2.87E-06,-0.000254214,
11135,9.00E-06,-0.000254085,
11136,1.51E-05,-0.00025381,
11137,2.13E-05,-0.000253389,
11138,2.74E-05,-0.000252821,
11139,3.35E-05,-0.000252108,
11140,3.95E-05,-0.000251248,
11141,4.56E-05,-0.000250235,
11142,5.16E-05,-0.000249075,
11143,5.76E-05,-0.00024777,
11144,6.36E-05,-0.000246323,
11145,6.95E-05,-0.000244734,
11146,7.54E-05,-0.000243004,
11147,8.12E-05,-0.000241133,
11148,8.70E-05,-0.000239124,
11149,9.28E-05,-0.000236976,
11150,9.85E-05,-0.000234686,
11151,0.000104094,-0.000232254,
11152,0.000109667,-0.000229689,
11153,0.000115178,-0.000226992,
11154,0.000120623,-0.000224164,
11155,0.000125999,-0.000221207,
11156,0.000131303,-0.000218122,
11157,0.000136531,-0.000214912,
11158,0.000141682,-0.000211577,
11159,0.000146748,-0.000208116,
11160,0.000151727,-0.00020453,
11161,0.000156618,-0.000200825,
11162,0.000161419,-0.000197005,
11163,0.000166127,-0.000193072,
11164,0.000170741,-0.000189027,
11165,0.000175256,-0.000184873,
11166,0.000179672,-0.000180613,
11167,0.000183984,-0.000176248,
11168,0.000188188,-0.000171779,
11169,0.000192279,-0.000167207,
11170,0.000196259,-0.000162537,
11171,0.000200126,-0.000157773,
11172,0.000203878,-0.000152919,
11173,0.000207514,-0.000147976,
11174,0.00021103,-0.000142948,
11175,0.000214426,-0.000137838,
11176,0.000217699,-0.000132649,
11177,0.000220845,-0.000127381,
11178,0.000223858,-0.000122036,
11179,0.000226741,-0.00011662,
11180,0.000229493,-0.000111136,
11181,0.000232114,-0.000105589,
11182,0.000234602,-1.00E-04,
11183,0.000236956,-9.43E-05,
11184,0.000239174,-8.86E-05,
11185,0.000241255,-8.28E-05,
11186,0.000243197,-7.70E-05,
11187,0.000244993,-7.11E-05,
11188,0.000246644,-6.52E-05,
11189,0.000248154,-5.93E-05,
11190,0.000249521,-5.33E-05,
11191,0.000250746,-4.73E-05,
11192,0.000251828,-4.12E-05,
11193,0.000252765,-3.52E-05,
11194,0.000253558,-2.91E-05,
11195,0.000254206,-2.30E-05,
11196,0.000254701,-1.69E-05,
11197,0.000255044,-1.08E-05,
11198,0.000255242,-4.62E-06,
11199,0.000255294,1.51E-06,
11200,0.000255199,7.65E-06,
11201,0.000254959,1.38E-05,
11202,0.000254572,1.99E-05,
11203,0.00025404,2.60E-05,
11204,0.000253363,3.21E-05,
11205,0.000252536,3.82E-05,
11206,0.000251558,4.42E-05,
11207,0.000250434,5.03E-05,
11208,0.000249168,5.63E-05,
11209,0.000247759,6.23E-05,
11210,0.000246209,6.82E-05,
11211,0.000244518,7.41E-05,
11212,0.000242687,7.99E-05,
11213,0.000240717,8.58E-05,
11214,0.000238606,9.15E-05,
11215,0.000236352,9.72E-05,
11216,0.000233961,0.000102876,
11217,0.000231437,0.000108468,
11218,0.00022878,0.000113999,
11219,0.000225993,0.000119464,
11220,0.000223076,0.000124862,
11221,0.000220032,0.000130189,
11222,0.000216862,0.000135443,
11223,0.000213566,0.000140618,
11224,0.000210143,0.00014571,
11225,0.000206596,0.000150716,
11226,0.000202931,0.000155637,
11227,0.000199151,0.00016047,
11228,0.000195256,0.000165211,
11229,0.000191251,0.000169859,
11230,0.000187136,0.000174409,
11231,0.000182914,0.000178861,
11232,0.000178586,0.000183211,
11233,0.000174152,0.000187452,
11234,0.000169615,0.000191583,
11235,0.000164981,0.000195604,
11236,0.000160253,0.000199515,
11237,0.000155434,0.000203312,
11238,0.000150525,0.000206993,
11239,0.000145531,0.000210557,
11240,0.000140453,0.000214001,
11241,0.000135295,0.000217324,
11242,0.000130057,0.000220518,
11243,0.000124741,0.000223582,
11244,0.000119353,0.000226518,
11245,0.000113897,0.000229325,
11246,0.000108377,0.000232002,
11247,0.000102794,0.000234548,
11248,9.72E-05,0.00023696,
11249,9.15E-05,0.000239238,
11250,8.57E-05,0.000241379,
11251,7.99E-05,0.00024338,
11252,7.41E-05,0.000245236,
11253,6.82E-05,0.000246951,
11254,6.22E-05,0.000248526,
11255,5.63E-05,0.000249959,
11256,5.03E-05,0.000251251,
11257,4.42E-05,0.000252401,
11258,3.82E-05,0.000253407,
11259,3.21E-05,0.000254269,
11260,2.60E-05,0.000254984,
11261,1.99E-05,0.000255547,
11262,1.38E-05,0.000255963,
11263,7.66E-06,0.000256233,
11264,1.53E-06,0.000256358,
11265,-4.61E-06,0.000256337,
11266,-1.07E-05,0.000256171,
11267,-1.69E-05,0.00025586,
11268,-2.30E-05,0.000255403,
11269,-2.91E-05,0.0002548,
11270,-3.52E-05,0.000254046,
11271,-4.12E-05,0.000253143,
11272,-4.73E-05,0.000252097,
11273,-5.33E-05,0.000250908,
11274,-5.93E-05,0.000249576,
11275,-6.53E-05,0.000248104,
11276,-7.12E-05,0.00024649,
11277,-7.71E-05,0.000244737,
11278,-8.29E-05,0.000242844,
11279,-8.87E-05,0.000240807,
11280,-9.44E-05,0.000238629,
11281,-0.000100102,0.000236315,
11282,-0.000105729,0.000233868,
11283,-0.000111295,0.000231288,
11284,-0.000116799,0.000228577,
11285,-0.000122238,0.000225736,
11286,-0.000127607,0.000222768,
11287,-0.000132905,0.000219673,
11288,-0.000138126,0.000216449,
11289,-0.000143265,0.000213096,
11290,-0.000148322,0.000209623,
11291,-0.000153296,0.000206031,
11292,-0.000158184,0.000202322,
11293,-0.000162982,0.000198498,
11294,-0.000167689,0.000194562,
11295,-0.000172301,0.000190516,
11296,-0.000176817,0.000186362,
11297,-0.00018123,0.000182099,
11298,-0.000185536,0.000177728,
11299,-0.000189736,0.000173255,
11300,-0.000193829,0.000168684,
11301,-0.000197812,0.000164018,
11302,-0.000201685,0.000159259,
11303,-0.000205443,0.000154409,
11304,-0.000209086,0.000149472,
11305,-0.000212612,0.000144451,
11306,-0.000216015,0.000139345,
11307,-0.000219291,0.000134157,
11308,-0.00022244,0.000128892,
11309,-0.000225465,0.000123553,
11310,-0.000228362,0.000118145,
11311,-0.00023113,0.000112669,
11312,-0.000233768,0.00010713,
11313,-0.000236275,0.00010153,
11314,-0.000238649,9.59E-05,
11315,-0.000240887,9.02E-05,
11316,-0.000242983,8.44E-05,
11317,-0.000244938,7.86E-05,
11318,-0.000246754,7.27E-05,
11319,-0.000248432,6.68E-05,
11320,-0.00024997,6.09E-05,
11321,-0.000251368,5.49E-05,
11322,-0.000252623,4.89E-05,
11323,-0.000253737,4.29E-05,
11324,-0.000254708,3.68E-05,
11325,-0.000255529,3.07E-05,
11326,-0.0002562,2.46E-05,
11327,-0.000256726,1.85E-05,
11328,-0.000257109,1.24E-05,
11329,-0.000257346,6.26E-06,
11330,-0.000257439,1.21E-07,
11331,-0.000257387,-6.01E-06,
11332,-0.000257191,-1.21E-05,
11333,-0.000256849,-1.83E-05,
11334,-0.000256358,-2.44E-05,
11335,-0.000255716,-3.05E-05,
11336,-0.00025493,-3.66E-05,
11337,-0.000254,-4.26E-05,
11338,-0.000252927,-4.87E-05,
11339,-0.000251712,-5.47E-05,
11340,-0.000250355,-6.07E-05,
11341,-0.000248858,-6.66E-05,
11342,-0.00024722,-7.25E-05,
11343,-0.00024544,-7.84E-05,
11344,-0.000243516,-8.42E-05,
11345,-0.000241453,-9.00E-05,
11346,-0.000239253,-9.57E-05,
11347,-0.00023692,-0.000101421,
11348,-0.000234453,-0.000107039,
11349,-0.000231855,-0.000112597,
11350,-0.000229126,-0.000118093,
11351,-0.000226268,-0.000123522,
11352,-0.000223282,-0.000128882,
11353,-0.000220163,-0.000134166,
11354,-0.000216918,-0.000139373,
11355,-0.000213552,-0.000144503,
11356,-0.000210065,-0.000149551,
11357,-0.00020646,-0.000154516,
11358,-0.000202739,-0.000159395,
11359,-0.000198905,-0.000164184,
11360,-0.000194958,-0.000168882,
11361,-0.000190902,-0.000173486,
11362,-0.000186732,-0.000177987,
11363,-0.000182455,-0.000182386,
11364,-0.000178075,-0.000186683,
11365,-0.000173595,-0.000190875,
11366,-0.000169017,-0.00019496,
11367,-0.000164345,-0.000198937,
11368,-0.00015958,-0.000202803,
11369,-0.000154726,-0.000206555,
11370,-0.000149784,-0.000210192,
11371,-0.000144755,-0.000213706,
11372,-0.000139641,-0.000217096,
11373,-0.000134448,-0.000220365,
11374,-0.00012918,-0.00022351,
11375,-0.000123839,-0.00022653,
11376,-0.000118429,-0.000229424,
11377,-0.000112952,-0.000232189,
11378,-0.000107411,-0.000234825,
11379,-0.00010181,-0.00023733,
11380,-9.61E-05,-0.000239698,
11381,-9.04E-05,-0.000241926,
11382,-8.47E-05,-0.000244017,
11383,-7.88E-05,-0.000245972,
11384,-7.30E-05,-0.00024779,
11385,-6.71E-05,-0.00024947,
11386,-6.11E-05,-0.00025101,
11387,-5.52E-05,-0.00025241,
11388,-4.92E-05,-0.000253669,
11389,-4.31E-05,-0.000254783,
11390,-3.71E-05,-0.000255749,
11391,-3.10E-05,-0.000256569,
11392,-2.49E-05,-0.000257246,
11393,-1.88E-05,-0.000257779,
11394,-1.27E-05,-0.000258168,
11395,-6.53E-06,-0.000258414,
11396,-3.97E-07,-0.000258515,
11397,5.74E-06,-0.000258472,
11398,1.19E-05,-0.000258282,
11399,1.80E-05,-0.000257943,
11400,2.41E-05,-0.000257454,
11401,3.02E-05,-0.000256823,
11402,3.63E-05,-0.000256048,
11403,4.24E-05,-0.00025513,
11404,4.84E-05,-0.00025407,
11405,5.44E-05,-0.000252869,
11406,6.04E-05,-0.000251526,
11407,6.64E-05,-0.000250043,
11408,7.23E-05,-0.000248413,
11409,7.82E-05,-0.00024664,
11410,8.40E-05,-0.000244729,
11411,8.98E-05,-0.000242682,
11412,9.55E-05,-0.0002405,
11413,0.000101189,-0.000238184,
11414,0.000106815,-0.000235735,
11415,0.000112382,-0.000233154,
11416,0.000117886,-0.000230443,
11417,0.000123323,-0.000227599,
11418,0.000128688,-0.000224623,
11419,0.000133982,-0.000221521,
11420,0.000139201,-0.000218295,
11421,0.000144343,-0.000214948,
11422,0.000149405,-0.000211481,
11423,0.000154385,-0.000207896,
11424,0.000159278,-0.000204195,
11425,0.000164084,-0.000200381,
11426,0.000168796,-0.000196451,
11427,0.000173411,-0.000192407,
11428,0.000177928,-0.000188255,
11429,0.000182346,-0.000183998,
11430,0.000186663,-0.000179638,
11431,0.000190877,-0.000175178,
11432,0.000194985,-0.000170621,
11433,0.000198985,-0.000165968,
11434,0.000202875,-0.000161223,
11435,0.00020665,-0.000156386,
11436,0.000210305,-0.000151458,
11437,0.000213841,-0.000146444,
11438,0.000217259,-0.000141349,
11439,0.000220556,-0.000136174,
11440,0.000223731,-0.000130924,
11441,0.000226782,-0.000125601,
11442,0.000229708,-0.000120208,
11443,0.000232506,-0.000114747,
11444,0.000235174,-0.000109222,
11445,0.000237706,-0.000103633,
11446,0.000240102,-9.80E-05,
11447,0.000242365,-9.23E-05,
11448,0.000244494,-8.65E-05,
11449,0.000246487,-8.07E-05,
11450,0.000248344,-7.49E-05,
11451,0.000250063,-6.90E-05,
11452,0.000251644,-6.31E-05,
11453,0.000253085,-5.71E-05,
11454,0.00025438,-5.11E-05,
11455,0.000255528,-4.51E-05,
11456,0.000256535,-3.90E-05,
11457,0.000257399,-3.29E-05,
11458,0.000258121,-2.68E-05,
11459,0.000258701,-2.07E-05,
11460,0.000259137,-1.46E-05,
11461,0.00025943,-8.49E-06,
11462,0.000259579,-2.36E-06,
11463,0.000259579,3.78E-06,
11464,0.000259429,9.91E-06,
11465,0.000259135,1.60E-05,
11466,0.000258697,2.22E-05,
11467,0.000258116,2.83E-05,
11468,0.000257393,3.44E-05,
11469,0.000256527,4.04E-05,
11470,0.000255519,4.65E-05,
11471,0.00025437,5.25E-05,
11472,0.000253076,5.85E-05,
11473,0.000251636,6.45E-05,
11474,0.000250055,7.04E-05,
11475,0.000248335,7.63E-05,
11476,0.000246478,8.21E-05,
11477,0.000244485,8.79E-05,
11478,0.000242356,9.37E-05,
11479,0.000240094,9.94E-05,
11480,0.000237699,0.000105051,
11481,0.00023517,0.000110641,
11482,0.000232505,0.000116168,
11483,0.000229709,0.000121629,
11484,0.000226785,0.000127023,
11485,0.000223737,0.000132348,
11486,0.000220564,0.0001376,
11487,0.00021727,0.000142776,
11488,0.000213856,0.000147874,
11489,0.000210323,0.00015289,
11490,0.000206674,0.000157823,
11491,0.000202904,0.000162664,
11492,0.000199019,0.000167413,
11493,0.000195024,0.00017207,
11494,0.000190921,0.000176632,
11495,0.000186713,0.000181097,
11496,0.000182402,0.000185462,
11497,0.000177989,0.000189726,
11498,0.000173479,0.000193885,
11499,0.000168872,0.000197938,
11500,0.000164168,0.000201877,
11501,0.00015937,0.000205701,
11502,0.000154483,0.000209411,
11503,0.000149511,0.000213006,
11504,0.000144456,0.000216484,
11505,0.000139322,0.000219843,
11506,0.000134111,0.000223082,
11507,0.000128825,0.000226198,
11508,0.000123468,0.000229189,
11509,0.000118041,0.000232051,
11510,0.000112545,0.000234779,
11511,0.000106986,0.000237377,
11512,0.000101369,0.000239844,
11513,9.57E-05,0.00024218,
11514,9.00E-05,0.000244382,
11515,8.42E-05,0.000246451,
11516,7.84E-05,0.000248384,
11517,7.25E-05,0.000250181,
11518,6.66E-05,0.000251837,
11519,6.06E-05,0.000253348,
11520,5.47E-05,0.000254718,
11521,4.87E-05,0.000255948,
11522,4.26E-05,0.000257037,
11523,3.66E-05,0.000257985,
11524,3.05E-05,0.000258791,
11525,2.44E-05,0.000259456,
11526,1.83E-05,0.000259978,
11527,1.21E-05,0.000260355,
11528,6.01E-06,0.000260583,
11529,-1.30E-07,0.000260664,
11530,-6.27E-06,0.000260601,
11531,-1.24E-05,0.000260396,
11532,-1.85E-05,0.000260048,
11533,-2.46E-05,0.000259557,
11534,-3.07E-05,0.000258923,
11535,-3.68E-05,0.000258148,
11536,-4.29E-05,0.00025723,
11537,-4.89E-05,0.000256165,
11538,-5.50E-05,0.000254954,
11539,-6.09E-05,0.000253603,
11540,-6.69E-05,0.000252113,
11541,-7.28E-05,0.000250485,
11542,-7.87E-05,0.000248719,
11543,-8.45E-05,0.000246817,
11544,-9.03E-05,0.00024478,
11545,-9.60E-05,0.000242608,
11546,-0.000101725,0.000240298,
11547,-0.000107351,0.000237851,
11548,-0.000112919,0.000235272,
11549,-0.000118425,0.000232565,
11550,-0.000123866,0.00022973,
11551,-0.00012924,0.000226769,
11552,-0.000134543,0.000223684,
11553,-0.000139774,0.000220477,
11554,-0.000144928,0.000217148,
11555,-0.000150001,0.000213697,
11556,-0.000154989,0.000210123,
11557,-0.000159891,0.000206433,
11558,-0.000164705,0.00020263,
11559,-0.00016943,0.000198715,
11560,-0.000174062,0.000194692,
11561,-0.0001786,0.000190562,
11562,-0.00018304,0.000186328,
11563,-0.000187381,0.000181991,
11564,-0.000191617,0.000177553,
11565,-0.000195744,0.000173013,
11566,-0.000199762,0.000168376,
11567,-0.000203671,0.000163647,
11568,-0.000207469,0.000158828,
11569,-0.000211154,0.000153922,
11570,-0.000214724,0.000148932,
11571,-0.000218177,0.00014386,
11572,-0.000221511,0.000138709,
11573,-0.000224723,0.000133481,
11574,-0.000227807,0.000128177,
11575,-0.000230762,0.0001228,
11576,-0.000233592,0.000117356,
11577,-0.000236295,0.000111848,
11578,-0.000238869,0.000106278,
11579,-0.000241313,0.00010065,
11580,-0.000243625,9.50E-05,
11581,-0.000245804,8.92E-05,
11582,-0.00024785,8.34E-05,
11583,-0.000249754,7.76E-05,
11584,-0.000251517,7.17E-05,
11585,-0.000253143,6.58E-05,
11586,-0.00025463,5.99E-05,
11587,-0.000255979,5.39E-05,
11588,-0.000257189,4.79E-05,
11589,-0.000258259,4.18E-05,
11590,-0.000259188,3.58E-05,
11591,-0.000259975,2.97E-05,
11592,-0.000260617,2.36E-05,
11593,-0.00026111,1.75E-05,
11594,-0.000261459,1.13E-05,
11595,-0.000261667,5.20E-06,
11596,-0.000261732,-9.34E-07,
11597,-0.000261654,-7.07E-06,
11598,-0.000261434,-1.32E-05,
11599,-0.000261072,-1.93E-05,
11600,-0.000260568,-2.54E-05,
11601,-0.000259918,-3.15E-05,
11602,-0.00025912,-3.76E-05,
11603,-0.000258179,-4.37E-05,
11604,-0.000257098,-4.97E-05,
11605,-0.000255876,-5.57E-05,
11606,-0.000254516,-6.17E-05,
11607,-0.000253017,-6.77E-05,
11608,-0.00025138,-7.36E-05,
11609,-0.000249607,-7.95E-05,
11610,-0.000247696,-8.53E-05,
11611,-0.000245643,-9.11E-05,
11612,-0.000243454,-9.68E-05,
11613,-0.000241132,-0.000102485,
11614,-0.000238679,-0.000108109,
11615,-0.000236097,-0.000113674,
11616,-0.000233386,-0.000119178,
