Index,x_m,y_m,t_sec
97,1.23252576687e-05,-1.87617583176e-05,0.00149228
98,1.55528045126e-05,-1.64142579804e-05,0.00150064
99,1.83171643182e-05,-1.34192416844e-05,0.001509
100,2.04947881576e-05,-9.98417341381e-06,0.00151736
101,2.20203260275e-05,-6.29358014517e-06,0.00152556
102,2.28962289554e-05,-2.36380686135e-06,0.00153376
103,2.30776916459e-05,1.66918647917e-06,0.00154196
104,2.25869682659e-05,5.71475292507e-06,0.00155016
105,2.13829995762e-05,9.52814324168e-06,0.0015582
106,1.95306237985e-05,1.30880820844e-05,0.00156624
107,1.70454448636e-05,1.62832323037e-05,0.00157428
108,1.4046570171e-05,1.90264822022e-05,0.00158232
109,1.07166049202e-05,2.12089744483e-05,0.0015902
110,7.05199313378e-06,2.27960716573e-05,0.00159808
111,3.15438149447e-06,2.37613947332e-05,0.00160596
112,-8.74578104089e-07,2.40754695346e-05,0.00161384
113,-4.85514529441e-06,2.37242548712e-05,0.00162158
114,-8.72380075217e-06,2.27097179416e-05,0.00162932
115,-1.23958753046e-05,2.10536512807e-05,0.00163706
116,-1.57790054707e-05,1.88139772349e-05,0.0016448
117,-1.86919774048e-05,1.60790969532e-05,0.00165242
118,-2.11608409592e-05,1.29069630383e-05,0.00166004
119,-2.30982125378e-05,9.36055448411e-06,0.00166766
120,-2.44098223033e-05,5.51127752167e-06,0.00167528
121,-2.50947226381e-05,1.57052263425e-06,0.00168276
122,-2.5147179834e-05,-2.46353986748e-06,0.00169024
123,-2.45699456941e-05,-6.4586208542e-06,0.00169772
124,-2.3319529658e-05,-1.03619068057e-05,0.0017052
125,-2.15104303939e-05,-1.39212943655e-05,0.00171258
126,-1.9140340312e-05,-1.72454438109e-05,0.00171996
127,-1.62602860049e-05,-2.01270020178e-05,0.00172734
128,-1.2974928534e-05,-2.24963216064e-05,0.00173472
129,-9.35162967585e-06,-2.42836008388e-05,0.00174198
130,-5.4830973193e-06,-2.5499468408e-05,0.00174924
131,-1.52356032927e-06,-2.61302685751e-05,0.0017565
132,2.56354893157e-06,-2.61583149715e-05,0.00176376
133,6.52714017778e-06,-2.55493872542e-05,0.00177092
134,1.04131011321e-05,-2.4378828753e-05,0.00177808
135,1.40626569171e-05,-2.26057224838e-05,0.00178524
136,1.73919818643e-05,-2.0259690804e-05,0.0017924
137,2.02961332617e-05,-1.74940722937e-05,0.00179944
138,2.2749409142e-05,-1.43045117048e-05,0.00180648
139,2.47263265745e-05,-1.0769457759e-05,0.00181352
140,2.62043010056e-05,-6.97348726726e-06,0.00182056
141,2.70643188191e-05,-3.04111736386e-06,0.0018275
142,2.72798442754e-05,9.78093476935e-07,0.00183444
143,2.69060489703e-05,5.02590069111e-06,0.00184138
144,2.59676379731e-05,8.9961313942e-06,0.00184832
145,2.44955502656e-05,1.27318990921e-05,0.00185516
146,2.25122136819e-05,1.62338112787e-05,0.001862
147,1.99481708114e-05,1.93761512324e-05,0.00186884
148,1.69666381458e-05,2.21666066142e-05,0.00187568
149,1.36503231664e-05,2.44606118389e-05,0.00188244
150,1.00384551214e-05,2.63070953133e-05,0.0018892
151,6.19096184995e-06,2.75502215257e-05,0.00189596
152,2.13501021015e-06,2.82432029269e-05,0.00190272
153,-1.90152629678e-06,2.83626694397e-05,0.0019094
154,-5.96461951832e-06,2.79589298904e-05,0.00191608
155,-9.87781638123e-06,2.68398588008e-05,0.00192276
156,-1.36124532257e-05,2.52326543891e-05,0.00192944
157,-1.71086601308e-05,2.31699886128e-05,0.00193604
158,-2.02483230816e-05,2.06257614336e-05,0.00194264
159,-2.29838246137e-05,1.75705709902e-05,0.00194924
160,-2.53297453764e-05,1.42319281426e-05,0.00195584
161,-2.7188692758e-05,1.0614171458e-05,0.00196234
162,-2.8436835003e-05,6.77812167266e-06,0.00196884
163,-2.91857903921e-05,2.78493492847e-06,0.00197534
164,-2.94424738825e-05,-1.26942496551e-06,0.00198184
165,-2.90444836394e-05,-5.2965826787e-06,0.00198826
166,-2.81004696769e-05,-9.24152874494e-06,0.00199468
167,-2.67044294462e-05,-1.30448406755e-05,0.0020011
168,-2.47365306314e-05,-1.66285858691e-05,0.00200752
169,-2.22902662714e-05,-1.98736520949e-05,0.00201388
170,-1.94711023255e-05,-2.27774489724e-05,0.00202024
171,-1.62526967251e-05,-2.52740128817e-05,0.0020266
172,-1.27105710601e-05,-2.73202277567e-05,0.00203296
173,-8.97830693345e-06,-2.88939064335e-05,0.00203924
174,-5.02287764549e-06,-2.99194166594e-05,0.00204552
175,-9.84796191123e-07,-3.03979841256e-05,0.0020518
176,3.10009177121e-06,-3.03824495262e-05,0.00205808
177,7.09181976271e-06,-2.97706908915e-05,0.00206428
178,1.09932813841e-05,-2.8671696878e-05,0.00207048
179,1.47556645122e-05,-2.70439330425e-05,0.00207668
180,1.82204380611e-05,-2.49355430174e-05,0.00208288
181,2.14137245991e-05,-2.24533555879e-05,0.00208902
182,2.42310089914e-05,-1.94652662847e-05,0.00209516
183,2.66603833134e-05,-1.62290651727e-05,0.0021013
184,2.86162758205e-05,-1.25917576101e-05,0.00210744
185,3.00989514276e-05,-8.78792819224e-06,0.00211352
186,3.10856520626e-05,-4.8883968278e-06,0.0021196
187,3.15162186382e-05,-8.09221194568e-07,0.00212568
188,3.151231608e-05,3.28935052219e-06,0.00213176
189,3.08137625798e-05,7.30248115707e-06,0.00213776
190,2.97305824595e-05,1.12448955675e-05,0.00214376
191,2.81147762859e-05,1.49871646901e-05,0.00214976
192,2.60445868362e-05,1.85038610985e-05,0.00215576
193,2.35459720544e-05,2.1710612759e-05,0.00216172
194,2.06422195828e-05,2.45652809572e-05,0.00216768
195,1.73967860434e-05,2.70609191027e-05,0.00217364
196,1.38477326793e-05,2.91231893172e-05,0.0021796
197,1.01349221092e-05,3.07113687574e-05,0.00218548
198,6.21262823611e-06,3.18178501882e-05,0.00219136
199,2.16360040566e-06,3.24638434634e-05,0.00219724
200,-1.90865249383e-06,3.25539436039e-05,0.00220312
201,-5.94596887889e-06,3.21335077453e-05,0.00220896
202,-9.92133333473e-06,3.12209063681e-05,0.0022148
203,-1.37758690181e-05,2.98230038693e-05,0.00222064
204,-1.74279851018e-05,2.79615411671e-05,0.00222648
205,-2.07782550862e-05,2.56605924153e-05,0.00223224
206,-2.38346902219e-05,2.2976426023e-05,0.002238
207,-2.65341050807e-05,1.99319371858e-05,0.00224376
208,-2.88650278144e-05,1.65686679693e-05,0.00224952
209,-3.07193314312e-05,1.29755429217e-05,0.00225524
210,-3.21640962928e-05,9.1639295958e-06,0.00226096
211,-3.31123133863e-05,5.18785110158e-06,0.00226668
212,-3.36031930113e-05,1.08893539206e-06,0.0022724
213,-3.35642701837e-05,-2.98746500414e-06,0.00227806
214,-3.30503788804e-05,-7.02563514362e-06,0.00228372
215,-3.20799815191e-05,-1.10091385247e-05,0.00228938
216,-3.05481028121e-05,-1.47844686007e-05,0.00229504
217,-2.87180501841e-05,-1.84400755838e-05,0.00230064
218,-2.62885764477e-05,-2.17219697435e-05,0.00230624
