Index,x_m,y_m,t_sec
101,-2.58459403943e-06,1.48899871421e-06,0.00029172
102,-2.66635990369e-06,1.38584479999e-06,0.00029458
103,-2.74812576795e-06,1.28269088578e-06,0.00029744
104,-2.82989163221e-06,1.17953697156e-06,0.0003003
105,-2.91165749647e-06,1.07638305734e-06,0.00030316
106,-2.99342336073e-06,9.73229143126e-07,0.00030602
107,-3.07518922499e-06,8.7007522891e-07,0.00030888
108,-3.15695508925e-06,7.66921314692e-07,0.00031174
109,-3.2387209535e-06,6.63767400475e-07,0.0003146
110,-3.32048681776e-06,5.60613486257e-07,0.00031746
111,-3.40225268202e-06,4.5745957204e-07,0.00032032
112,-3.48401854628e-06,3.54305657822e-07,0.00032318
113,-3.56578441054e-06,2.51151743605e-07,0.00032604
114,-3.6475502748e-06,1.47997829388e-07,0.0003289
115,-3.72931613906e-06,4.48439151701e-08,0.00033176
116,-3.81108200332e-06,-5.83099990471e-08,0.00033462
117,-3.89284786758e-06,-1.61463913265e-07,0.00033748
118,-3.97461373184e-06,-2.64617827482e-07,0.00034034
119,-4.05637959609e-06,-3.677717417e-07,0.0003432
120,-4.13814546035e-06,-4.70925655917e-07,0.00034606
121,-4.21991132461e-06,-5.74079570135e-07,0.00034892
122,-4.30167718887e-06,-6.77233484352e-07,0.00035178
123,-4.29440657662e-06,-7.96298266446e-07,0.00035464
124,-4.20406052131e-06,-9.30208676422e-07,0.0003575
125,-4.10967440141e-06,-1.06484104819e-06,0.00036036
126,-4.01528828152e-06,-1.19947341995e-06,0.00036322
127,-3.92090216163e-06,-1.33410579171e-06,0.00036608
128,-3.82651604173e-06,-1.46873816348e-06,0.00036894
129,-3.73212992184e-06,-1.60337053524e-06,0.0003718
130,-3.63774380195e-06,-1.738002907e-06,0.00037466
131,-3.54335768205e-06,-1.87263527877e-06,0.00037752
132,-3.44897156216e-06,-2.00726765053e-06,0.00038038
133,-3.35458544226e-06,-2.1419000223e-06,0.00038324
134,-3.26019932237e-06,-2.27653239406e-06,0.0003861
135,-3.16581320248e-06,-2.41116476582e-06,0.00038896
136,-3.07142708258e-06,-2.54579713759e-06,0.00039182
137,-2.97704096269e-06,-2.68042950935e-06,0.00039468
138,-2.8826548428e-06,-2.81506188111e-06,0.00039754
139,-2.7882687229e-06,-2.94969425288e-06,0.0004004
140,-2.69388260301e-06,-3.08432662464e-06,0.00040326
141,-2.59949648312e-06,-3.2189589964e-06,0.00040612
142,-2.50511036322e-06,-3.35359136817e-06,0.00040898
143,-2.41072424333e-06,-3.48822373993e-06,0.00041184
144,-2.31633812344e-06,-3.62285611169e-06,0.0004147
145,-2.22195200354e-06,-3.75748848346e-06,0.00041756
146,-2.12756588365e-06,-3.89212085522e-06,0.00042042
147,-2.03317976376e-06,-4.02675322699e-06,0.00042328
148,-1.93879364386e-06,-4.16138559875e-06,0.00042614
149,-1.84440752397e-06,-4.29601797051e-06,0.000429
150,-1.75002140408e-06,-4.43065034228e-06,0.00043186
151,-1.65563528418e-06,-4.56528271404e-06,0.00043472
152,-1.56124916429e-06,-4.6999150858e-06,0.00043758
153,-1.46686304439e-06,-4.83454745757e-06,0.00044044
154,-1.36285449509e-06,-4.95334500834e-06,0.0004433
155,-1.20902220673e-06,-4.99015183155e-06,0.00044616
156,-1.01874473252e-06,-4.96698388442e-06,0.00044902
157,-8.28467258296e-07,-4.9438159373e-06,0.00045188
158,-6.38189784075e-07,-4.92064799017e-06,0.00045474
159,-4.47912309855e-07,-4.89748004305e-06,0.0004576
160,-2.57634835635e-07,-4.87431209592e-06,0.00046046
161,-6.73573614149e-08,-4.8511441488e-06,0.00046332
162,1.22920112805e-07,-4.82797620167e-06,0.00046618
163,3.13197587025e-07,-4.80480825455e-06,0.00046904
164,5.03475061245e-07,-4.78164030742e-06,0.0004719
165,6.93752535465e-07,-4.7584723603e-06,0.00047476
166,8.84030009685e-07,-4.73530441317e-06,0.00047762
167,1.07430748391e-06,-4.71213646605e-06,0.00048048
168,1.26458495813e-06,-4.68896851892e-06,0.00048334
169,1.45486243235e-06,-4.6658005718e-06,0.0004862
170,1.64513990657e-06,-4.64263262467e-06,0.00048906
171,1.83541738079e-06,-4.61946467755e-06,0.00049192
172,2.02569485501e-06,-4.59629673042e-06,0.00049478
173,2.21597232923e-06,-4.5731287833e-06,0.00049764
174,2.40624980345e-06,-4.54996083618e-06,0.0005005
175,2.59652727767e-06,-4.52679288905e-06,0.00050336
176,2.78680475189e-06,-4.50362494193e-06,0.00050622
177,2.97708222611e-06,-4.4804569948e-06,0.00050908
178,3.16735970033e-06,-4.45728904768e-06,0.00051194
179,3.35763717455e-06,-4.43412110055e-06,0.0005148
180,3.54791464877e-06,-4.41095315343e-06,0.00051766
181,3.73819212299e-06,-4.3877852063e-06,0.00052052
182,3.90281896997e-06,-4.31581733704e-06,0.00052338
183,4.02405250903e-06,-4.16129436965e-06,0.00052624
184,4.12696661279e-06,-3.97191895954e-06,0.0005291
185,4.22988071655e-06,-3.78254354942e-06,0.00053196
186,4.3327948203e-06,-3.59316813931e-06,0.00053482
187,4.43570892406e-06,-3.40379272919e-06,0.00053768
188,4.53862302781e-06,-3.21441731908e-06,0.00054054
189,4.64153713157e-06,-3.02504190897e-06,0.0005434
190,4.74445123533e-06,-2.83566649885e-06,0.00054626
191,4.84736533908e-06,-2.64629108874e-06,0.00054912
192,4.95027944284e-06,-2.45691567862e-06,0.00055198
193,5.05319354659e-06,-2.26754026851e-06,0.00055484
194,5.15610765035e-06,-2.07816485839e-06,0.0005577
195,5.2590217541e-06,-1.88878944828e-06,0.00056056
196,5.36193585786e-06,-1.69941403817e-06,0.00056342
197,5.46484996162e-06,-1.51003862805e-06,0.00056628
198,5.56776406537e-06,-1.32066321794e-06,0.00056914
199,5.67067816913e-06,-1.13128780782e-06,0.000572
200,5.77359227288e-06,-9.4191239771e-07,0.00057486
201,5.87650637664e-06,-7.52536987595e-07,0.00057772
202,5.97942048039e-06,-5.63161577481e-07,0.00058058
203,6.08233458415e-06,-3.73786167367e-07,0.00058344
204,6.18524868791e-06,-1.84410757253e-07,0.0005863
205,6.28816279166e-06,4.96465286119e-09,0.00058916
