Index,x_m,y_m
188,3.15E-05,3.29E-06
189,3.08E-05,7.30E-06
190,2.97E-05,1.12E-05
191,2.81E-05,1.50E-05
192,2.60E-05,1.85E-05
193,2.35E-05,2.17E-05
194,2.06E-05,2.46E-05
195,1.74E-05,2.71E-05
196,1.38E-05,2.91E-05
197,1.01E-05,3.07E-05
198,6.21E-06,3.18E-05
199,2.16E-06,3.25E-05
200,-1.91E-06,3.26E-05
201,-5.95E-06,3.21E-05
202,-9.92E-06,3.12E-05
203,-1.38E-05,2.98E-05
204,-1.74E-05,2.80E-05
205,-2.08E-05,2.57E-05
206,-2.38E-05,2.30E-05
207,-2.65E-05,1.99E-05
208,-2.89E-05,1.66E-05
209,-3.07E-05,1.30E-05
210,-3.22E-05,9.16E-06
211,-3.31E-05,5.19E-06
212,-3.36E-05,1.09E-06
213,-3.36E-05,-2.99E-06
214,-3.31E-05,-7.03E-06
215,-3.21E-05,-1.10E-05
216,-3.05E-05,-1.48E-05
217,-2.87E-05,-1.84E-05
218,-2.63E-05,-2.17E-05
219,-2.36E-05,-2.48E-05
220,-2.05E-05,-2.75E-05
221,-1.72E-05,-2.98E-05
222,-1.35E-05,-3.17E-05
223,-9.67E-06,-3.31E-05
224,-5.74E-06,-3.42E-05
225,-1.68E-06,-3.46E-05
226,2.40E-06,-3.47E-05
227,6.49E-06,-3.42E-05
228,1.05E-05,-3.33E-05
229,1.43E-05,-3.19E-05
230,1.80E-05,-3.01E-05
231,2.14E-05,-2.78E-05
232,2.46E-05,-2.52E-05
233,2.74E-05,-2.23E-05
234,2.98E-05,-1.90E-05
235,3.19E-05,-1.55E-05
236,3.35E-05,-1.17E-05
237,3.47E-05,-7.77E-06
238,3.54E-05,-3.74E-06
239,3.57E-05,3.34E-07
240,3.55E-05,4.43E-06
241,3.49E-05,8.47E-06
242,3.38E-05,1.24E-05
243,3.22E-05,1.62E-05
244,3.02E-05,1.98E-05
245,2.79E-05,2.31E-05
246,2.51E-05,2.61E-05
247,2.21E-05,2.88E-05
248,1.88E-05,3.12E-05
