Index,x_m,y_m
8212,-0.000170725,0.000129914
8213,-0.000173222,0.00012651
8214,-0.000175718,0.000123105
8215,-0.000178197,0.00011969
8216,-0.000180481,0.000116148
8217,-0.000182675,0.000112547
8218,-0.000184869,0.000108946
8219,-0.000187054,0.00010534
8220,-0.000189126,0.00010167
8221,-0.000191002,9.79E-05
8222,-0.000192878,9.41E-05
8223,-0.000194754,9.03E-05
8224,-0.000196602,8.65E-05
8225,-0.000198153,8.26E-05
8226,-0.000199696,7.87E-05
8227,-0.000201239,7.48E-05
8228,-0.000202764,7.08E-05
8229,-0.000204088,6.68E-05
8230,-0.000205298,6.28E-05
8231,-0.000206509,5.87E-05
8232,-0.000207711,5.47E-05
8233,-0.000208802,5.06E-05
8234,-0.000209665,4.65E-05
8235,-0.000210527,4.23E-05
8236,-0.00021139,3.82E-05
8237,-0.000212224,3.41E-05
8238,-0.00021276,2.99E-05
8239,-0.000213275,2.57E-05
8240,-0.000213789,2.15E-05
8241,-0.000214284,1.73E-05
8242,-0.000214565,1.31E-05
8243,-0.000214701,8.88E-06
8244,-0.000214837,4.65E-06
8245,-0.000214966,4.33E-07
8246,-0.000214998,-3.79E-06
8247,-0.000214786,-8.01E-06
8248,-0.000214574,-1.22E-05
8249,-0.000214362,-1.65E-05
8250,-0.000214123,-2.07E-05
8251,-0.000213586,-2.49E-05
8252,-0.000213011,-2.91E-05
8253,-0.000212436,-3.32E-05
8254,-0.000211844,-3.74E-05
8255,-0.000211059,-4.16E-05
8256,-0.000210121,-4.57E-05
8257,-0.000209183,-4.99E-05
8258,-0.00020824,-5.40E-05
8259,-0.000207215,-5.81E-05
8260,-0.000205944,-6.21E-05
8261,-0.000204674,-6.61E-05
8262,-0.000203403,-7.02E-05
8263,-0.000202106,-7.42E-05
8264,-0.000200538,-7.81E-05
8265,-0.000198919,-8.20E-05
8266,-0.0001973,-8.59E-05
8267,-0.000195667,-8.99E-05
8268,-0.00019387,-9.37E-05
8269,-0.000191918,-9.74E-05
8270,-0.000189966,-0.00010119
8271,-0.000188011,-0.00010494
8272,-0.00018599,-0.000108656
8273,-0.00018372,-0.000112242
8274,-0.000181451,-0.000115828
8275,-0.000179181,-0.000119413
8276,-0.000176892,-0.000122985
8277,-0.000174389,-0.000126398
8278,-0.000171832,-0.000129772
8279,-0.000169275,-0.000133146
8280,-0.000166707,-0.00013651
8281,-0.000164007,-0.000139765
8282,-0.000161163,-0.000142896
8283,-0.000158319,-0.000146028
8284,-0.000155472,-0.000149158
8285,-0.000152585,-0.000152247
8286,-0.000149498,-0.000155137
8287,-0.000146412,-0.000158027
8288,-0.000143325,-0.000160916
8289,-0.000140222,-0.000163788
8290,-0.000136937,-0.000166468
8291,-0.000133593,-0.000169085
8292,-0.00013025,-0.000171703
8293,-0.000126899,-0.00017431
8294,-0.000123466,-0.000176797
8295,-0.000119926,-0.000179127
8296,-0.000116386,-0.000181457
8297,-0.000112844,-0.000183786
8298,-0.000109277,-0.000186072
8299,-0.00010554,-0.000188085
8300,-0.000101803,-0.000190097
8301,-9.81E-05,-0.000192109
8302,-9.43E-05,-0.000194101
8303,-9.05E-05,-0.00019587
8304,-8.66E-05,-0.000197549
8305,-8.27E-05,-0.000199229
8306,-7.88E-05,-0.000200898
8307,-7.49E-05,-0.00020244
8308,-7.08E-05,-0.000203786
8309,-6.68E-05,-0.000205133
8310,-6.28E-05,-0.000206479
8311,-5.88E-05,-0.000207793
8312,-5.46E-05,-0.000208791
8313,-5.05E-05,-0.00020979
8314,-4.64E-05,-0.000210788
8315,-4.22E-05,-0.000211767
8316,-3.81E-05,-0.000212526
8317,-3.39E-05,-0.000213176
8318,-2.97E-05,-0.000213827
8319,-2.55E-05,-0.000214467
8320,-2.13E-05,-0.000214977
8321,-1.70E-05,-0.000215249
8322,-1.28E-05,-0.000215522
8323,-8.56E-06,-0.000215794
8324,-4.32E-06,-0.000216037
8325,-7.33E-08,-0.000215973
8326,4.18E-06,-0.000215898
8327,8.43E-06,-0.000215822
8328,1.27E-05,-0.000215727
8329,1.69E-05,-0.000215416
8330,2.11E-05,-0.000214977
8331,2.54E-05,-0.000214538
8332,2.96E-05,-0.000214091
8333,3.38E-05,-0.000213532
8334,3.80E-05,-0.00021273
8335,4.21E-05,-0.000211928
8336,4.63E-05,-0.000211126
8337,5.04E-05,-0.000210321
8338,5.44E-05,-0.000209223
8339,5.84E-05,-0.000208098
8340,6.24E-05,-0.000206973
8341,6.65E-05,-0.000205823
8342,7.05E-05,-0.000204475
8343,7.45E-05,-0.000202977
8344,7.85E-05,-0.000201479
8345,8.24E-05,-0.000199981
8346,8.64E-05,-0.00019841
8347,9.02E-05,-0.000196579
8348,9.41E-05,-0.000194748
8349,9.78E-05,-0.000192957
8350,0.000101583,-0.000191167
8351,0.000105195,-0.000189104
8352,0.000108778,-0.00018699
8353,0.000112439,-0.000184826
8354,0.000116101,-0.000182663
8355,0.000119668,-0.000180354
8356,0.000123141,-0.000177901
8357,0.00012653,-0.000175488
8358,0.00012992,-0.000173076
8359,0.000133277,-0.000170622
8360,0.000136486,-0.000167977
8361,0.000139739,-0.000165239
8362,0.000142992,-0.0001625
8363,0.000146245,-0.000159762
8364,0.000149332,-0.000156827
8365,0.000152284,-0.000153875
8366,0.00015523,-0.000150915
8367,0.000158175,-0.000147955
8368,0.000161019,-0.000144914
8369,0.000163781,-0.000141692
8370,0.000166504,-0.000138439
8371,0.000169228,-0.000135186
8372,0.000171924,-0.00013191
8373,0.000174384,-0.000128546
8374,0.000176782,-0.000125127
8375,0.000179179,-0.000121708
8376,0.000181577,-0.000118289
8377,0.000183825,-0.00011478
8378,0.000185951,-0.000111198
8379,0.000188053,-0.000107601
8380,0.000190155,-0.000104005
8381,0.000192178,-0.000100365
8382,0.00019404,-9.66E-05
8383,0.000195816,-9.29E-05
8384,0.000197592,-8.91E-05
8385,0.000199394,-8.52E-05
8386,0.000201035,-8.13E-05
8387,0.000202518,-7.73E-05
8388,0.000204,-7.33E-05
8389,0.000205451,-6.94E-05
8390,0.00020679,-6.55E-05
8391,0.000207951,-6.14E-05
8392,0.000209061,-5.74E-05
8393,0.000210171,-5.34E-05
8394,0.000211234,-4.94E-05
8395,0.000212142,-4.53E-05
8396,0.000212912,-4.12E-05
8397,0.000213682,-3.71E-05
8398,0.000214447,-3.30E-05
8399,0.000215119,-2.89E-05
8400,0.000215533,-2.47E-05
8401,0.000215948,-2.06E-05
8402,0.000216362,-1.64E-05
8403,0.000216738,-1.23E-05
8404,0.000216892,-8.13E-06
8405,0.000216951,-3.96E-06
8406,0.00021701,2.17E-07
8407,0.000217061,4.39E-06
8408,0.000216988,8.57E-06
8409,0.000216692,1.27E-05
8410,0.000216396,1.69E-05
8411,0.0002161,2.11E-05
8412,0.000215804,2.53E-05
8413,0.000215169,2.94E-05
8414,0.000214518,3.35E-05
8415,0.000213867,3.76E-05
8416,0.000213216,4.17E-05
8417,0.000212374,4.58E-05
8418,0.000211378,4.99E-05
8419,0.000210371,5.39E-05
8420,0.000209365,5.80E-05
8421,0.000208296,6.20E-05
8422,0.000206991,6.60E-05
8423,0.000205644,7.00E-05
8424,0.000204297,7.39E-05
8425,0.00020295,7.79E-05
8426,0.00020139,8.18E-05
8427,0.00019973,8.56E-05
8428,0.000198057,8.94E-05
8429,0.000196385,9.32E-05
8430,0.000194602,9.70E-05
8431,0.000192641,0.000100684
8432,0.000190628,0.000104355
8433,0.000188615,0.000108025
8434,0.000186599,0.000111694
8435,0.000184384,0.000115237
8436,0.00018209,0.00011873
8437,0.000179796,0.000122223
8438,0.000177502,0.000125716
8439,0.000175079,0.000129123
8440,0.000172515,0.000132437
8441,0.00016991,0.000135722
8442,0.000167305,0.000139008
8443,0.000164665,0.000142262
8444,0.000161872,0.000145382
8445,0.000159001,0.000148431
8446,0.00015613,0.00015148
8447,0.000153258,0.000154529
8448,0.000150278,0.000157455
8449,0.000147186,0.000160256
8450,0.000144078,0.000163038
8451,0.000140969,0.000165821
8452,0.000137809,0.000168544
8453,0.000134529,0.000171133
8454,0.000131184,0.00017365
8455,0.000127839,0.000176166
8456,0.000124494,0.000178682
8457,0.000121042,0.000181045
8458,0.000117493,0.000183269
8459,0.00011394,0.00018549
8460,0.000110388,0.00018771
8461,0.000106785,0.000189842
8462,0.000103096,0.000191821
8463,9.94E-05,0.000193731
8464,9.56E-05,0.00019564
8465,9.19E-05,0.000197526
8466,8.81E-05,0.000199268
8467,8.42E-05,0.000200867
8468,8.03E-05,0.000202465
8469,7.65E-05,0.000204064
8470,7.25E-05,0.000205548
8471,6.86E-05,0.000206846
8472,6.46E-05,0.000208089
8473,6.06E-05,0.000209333
8474,5.66E-05,0.000210534
8475,5.25E-05,0.000211573
8476,4.84E-05,0.000212476
8477,4.43E-05,0.000213379
8478,4.02E-05,0.000214282
8479,3.61E-05,0.000215053
8480,3.19E-05,0.000215634
8481,2.78E-05,0.000216181
8482,2.36E-05,0.000216729
8483,1.94E-05,0.000217215
8484,1.53E-05,0.000217529
8485,1.11E-05,0.000217721
8486,6.89E-06,0.000217913
8487,2.70E-06,0.000218106
8488,-1.49E-06,0.000218149
8489,-5.68E-06,0.000217998
8490,-9.87E-06,0.000217835
8491,-1.41E-05,0.000217672
8492,-1.82E-05,0.000217431
8493,-2.24E-05,0.000217012
8494,-2.66E-05,0.000216494
8495,-3.07E-05,0.000215976
8496,-3.49E-05,0.000215449
8497,-3.90E-05,0.000214763
8498,-4.31E-05,0.00021389
8499,-4.72E-05,0.000213016
8500,-5.14E-05,0.000212143
8501,-5.55E-05,0.000211174
8502,-5.95E-05,0.000210023
8503,-6.35E-05,0.000208794
8504,-6.75E-05,0.000207566
8505,-7.15E-05,0.000206314
8506,-7.55E-05,0.000204911
8507,-7.94E-05,0.000203357
8508,-8.33E-05,0.000201803
8509,-8.72E-05,0.000200249
8510,-9.10E-05,0.000198586
8511,-9.48E-05,0.000196745
8512,-9.86E-05,0.00019485
8513,-0.000102303,0.000192956
8514,-0.000106028,0.000191025
8515,-0.000109675,0.000188954
8516,-0.000113257,0.000186764
8517,-0.000116839,0.000184573
8518,-0.000120421,0.000182383
8519,-0.000123926,0.000180078
8520,-0.000127321,0.000177606
8521,-0.000130695,0.000175105
8522,-0.00013407,0.000172604
8523,-0.000137407,0.000170054
8524,-0.000140635,0.000167368
8525,-0.000143788,0.000164586
8526,-0.000146941,0.000161803
8527,-0.000150093,0.000159021
8528,-0.000153147,0.000156127
8529,-0.000156071,0.000153087
8530,-0.000158987,0.000150038
8531,-0.000161902,0.000146989
8532,-0.000164757,0.000143891
8533,-0.00016747,0.000140683
8534,-0.000170105,0.000137412
8535,-0.000172739,0.000134141
8536,-0.000175368,0.000130865
8537,-0.000177863,0.00012749
8538,-0.000180201,0.000123997
8539,-0.00018254,0.000120504
8540,-0.000184878,0.000117011
8541,-0.000187137,0.000113466
8542,-0.000189245,0.000109823
8543,-0.000191288,0.000106138
8544,-0.00019333,0.000102452
8545,-0.00019535,9.88E-05
8546,-0.000197219,9.50E-05
8547,-0.000198936,9.12E-05
8548,-0.000200653,8.73E-05
8549,-0.00020237,8.35E-05
8550,-0.000203983,7.96E-05
8551,-0.000205427,7.57E-05
8552,-0.000206818,7.17E-05
8553,-0.000208209,6.77E-05
8554,-0.000209558,6.37E-05
8555,-0.000210738,5.97E-05
8556,-0.000211775,5.56E-05
8557,-0.000212811,5.15E-05
8558,-0.000213847,4.74E-05
8559,-0.000214758,4.33E-05
8560,-0.000215487,3.91E-05
8561,-0.000216183,3.50E-05
8562,-0.000216878,3.08E-05
8563,-0.000217512,2.67E-05
8564,-0.000217965,2.25E-05
8565,-0.000218291,1.83E-05
8566,-0.000218617,1.41E-05
8567,-0.000218942,9.85E-06
8568,-0.00021912,5.65E-06
8569,-0.000219104,1.45E-06
8570,-0.000219074,-2.76E-06
8571,-0.000219045,-6.96E-06
8572,-0.000218938,-1.12E-05
8573,-0.000218654,-1.54E-05
8574,-0.000218269,-1.96E-05
8575,-0.000217885,-2.38E-05
8576,-0.000217493,-2.80E-05
8577,-0.000216942,-3.22E-05
8578,-0.000216202,-3.63E-05
8579,-0.000215462,-4.04E-05
8580,-0.000214721,-4.46E-05
8581,-0.000213887,-4.87E-05
8582,-0.000212871,-5.28E-05
8583,-0.000211776,-5.69E-05
8584,-0.00021068,-6.10E-05
8585,-0.000209562,-6.51E-05
8586,-0.000208286,-6.91E-05
8587,-0.000206851,-7.30E-05
8588,-0.000205415,-7.70E-05
8589,-0.000203979,-8.10E-05
8590,-0.000202436,-8.49E-05
8591,-0.000200715,-8.87E-05
8592,-0.000198939,-9.26E-05
8593,-0.000197163,-9.64E-05
8594,-0.000195349,-0.000100183
8595,-0.000193381,-0.000103914
8596,-0.000191279,-0.000107585
8597,-0.000189177,-0.000111256
8598,-0.000187075,-0.000114926
8599,-0.000184866,-0.000118527
8600,-0.000182498,-0.000122024
8601,-0.0001801,-0.000125503
8602,-0.000177703,-0.000128981
8603,-0.000175256,-0.000132422
8604,-0.000172665,-0.000135756
8605,-0.000169971,-0.000139012
8606,-0.000167277,-0.000142268
8607,-0.000164584,-0.000145524
8608,-0.00016178,-0.000148683
8609,-0.00015883,-0.000151711
8610,-0.00015587,-0.000154731
8611,-0.00015291,-0.00015775
8612,-0.000149899,-0.000160712
8613,-0.000146841,-0.00016348
8614,-0.000143715,-0.000166172
8615,-0.000140589,-0.000168864
8616,-0.00013746,-0.000171552
8617,-0.000134173,-0.000174198
8618,-0.000130739,-0.00017667
8619,-0.000127305,-0.000179141
8620,-0.000123871,-0.000181613
8621,-0.000120397,-0.000184019
8622,-0.000116821,-0.000186262
8623,-0.000113195,-0.000188423
8624,-0.000109569,-0.000190583
8625,-0.000105933,-0.000192728
8626,-0.000102227,-0.000194749
8627,-9.84E-05,-0.000196599
8628,-9.46E-05,-0.000198449
8629,-9.09E-05,-0.000200258
8630,-8.71E-05,-0.000201996
8631,-8.33E-05,-0.000203553
8632,-7.95E-05,-0.000205043
8633,-7.55E-05,-0.000206568
8634,-7.15E-05,-0.000208069
8635,-6.75E-05,-0.000209438
8636,-6.35E-05,-0.000210622
8637,-5.95E-05,-0.00021178
8638,-5.56E-05,-0.000212937
8639,-5.16E-05,-0.000214037
8640,-4.75E-05,-0.000214901
8641,-4.34E-05,-0.00021573
8642,-3.92E-05,-0.000216558
8643,-3.50E-05,-0.000217364
8644,-3.09E-05,-0.000218022
8645,-2.68E-05,-0.000218485
8646,-2.26E-05,-0.000218948
8647,-1.85E-05,-0.000219411
8648,-1.44E-05,-0.000219844
8649,-1.02E-05,-0.000219973
8650,-5.95E-06,-0.000220077
8651,-1.72E-06,-0.000220181
8652,2.51E-06,-0.000220269
8653,6.65E-06,-0.000220192
8654,1.08E-05,-0.000219946
8655,1.49E-05,-0.0002197
8656,1.91E-05,-0.000219454
8657,2.32E-05,-0.000219196
8658,2.73E-05,-0.00021861
8659,3.14E-05,-0.000218017
8660,3.55E-05,-0.000217423
8661,3.97E-05,-0.000216817
8662,4.38E-05,-0.000216011
8663,4.80E-05,-0.000215048
8664,5.21E-05,-0.000214071
8665,5.61E-05,-0.000213116
8666,6.02E-05,-0.000212118
8667,6.41E-05,-0.000210869
8668,6.80E-05,-0.000209581
8669,7.20E-05,-0.000208293
8670,7.59E-05,-0.000207005
8671,7.98E-05,-0.000205537
8672,8.36E-05,-0.000203942
8673,8.74E-05,-0.000202321
8674,9.13E-05,-0.0002007
8675,9.51E-05,-0.000199024
8676,9.88E-05,-0.000197166
8677,0.00010242,-0.000195226
8678,0.000106081,-0.000193287
8679,0.000109743,-0.000191348
8680,0.000113324,-0.000189269
8681,0.000116827,-0.000187052
8682,0.000120315,-0.000184809
8683,0.000123803,-0.000182566
8684,0.000127255,-0.000180273
8685,0.000130685,-0.000177783
8686,0.000134045,-0.000175193
8687,0.000137405,-0.000172603
8688,0.000140765,-0.000170012
8689,0.000143959,-0.000167365
8690,0.000147037,-0.00016457
8691,0.000150105,-0.000161763
8692,0.000153173,-0.000158955
8693,0.000156193,-0.000156102
8694,0.000159082,-0.000153125
8695,0.000161876,-0.000150057
8696,0.000164669,-0.000146989
8697,0.000167462,-0.000143921
8698,0.000170176,-0.000140783
8699,0.000172733,-0.000137507
8700,0.00017528,-0.000134222
8701,0.000177827,-0.000130936
8702,0.000180337,-0.000127626
8703,0.000182698,-0.000124218
8704,0.000184941,-0.00012073
8705,0.000187185,-0.000117242
8706,0.000189427,-0.000113754
8707,0.000191614,-0.000110231
8708,0.000193553,-0.000106555
8709,0.000195492,-0.00010288
8710,0.000197432,-9.92E-05
8711,0.000199348,-9.55E-05
8712,0.000201106,-9.17E-05
8713,0.000202727,-8.79E-05
8714,0.000204348,-8.41E-05
8715,0.000205968,-8.02E-05
8716,0.000207557,-7.64E-05
8717,0.000208845,-7.24E-05
8718,0.000210133,-6.85E-05
8719,0.000211421,-6.45E-05
8720,0.000212705,-6.06E-05
8721,0.000213807,-5.66E-05
8722,0.000214747,-5.25E-05
8723,0.000215688,-4.85E-05
8724,0.000216629,-4.44E-05
8725,0.000217568,-4.04E-05
8726,0.000218161,-3.63E-05
8727,0.000218755,-3.22E-05
8728,0.000219348,-2.80E-05
8729,0.000219941,-2.39E-05
8730,0.000220361,-1.98E-05
8731,0.000220622,-1.57E-05
8732,0.000220868,-1.15E-05
8733,0.000221114,-7.35E-06
8734,0.000221359,-3.20E-06
8735,0.000221276,9.71E-07
8736,0.00022116,5.14E-06
8737,0.000221044,9.31E-06
8738,0.000220929,1.35E-05
8739,0.000220662,1.76E-05
8740,0.000220223,2.18E-05
8741,0.00021976,2.59E-05
8742,0.000219297,3.00E-05
8743,0.000218833,3.41E-05
8744,0.000218086,3.82E-05
8745,0.000217275,4.23E-05
8746,0.000216465,4.64E-05
8747,0.000215654,5.05E-05
8748,0.000214709,5.46E-05
8749,0.000213573,5.86E-05
8750,0.000212401,6.26E-05
8751,0.000211228,6.66E-05
8752,0.000210056,7.06E-05
8753,0.000208636,7.45E-05
8754,0.000207137,7.83E-05
8755,0.000205632,8.22E-05
8756,0.000204126,8.61E-05
8757,0.000202527,8.99E-05
8758,0.00020074,9.37E-05
8759,0.000198917,9.75E-05
8760,0.000197093,0.000101202
8761,0.00019527,0.00010495
8762,0.000193232,0.000108582
8763,0.000191102,0.000112162
8764,0.00018896,0.000115737
8765,0.000186818,0.000119312
8766,0.000184596,0.000122837
8767,0.000182203,0.000126256
8768,0.000179758,0.000129642
8769,0.000177312,0.000133029
8770,0.000174866,0.000136415
8771,0.000172257,0.000139664
8772,0.00016955,0.000142831
8773,0.000166829,0.000145985
8774,0.000164109,0.00014914
8775,0.000161337,0.00015225
8776,0.000158407,0.000155219
8777,0.000155426,0.000158142
8778,0.000152445,0.000161066
8779,0.000149464,0.000163989
8780,0.000146361,0.000166768
8781,0.000143165,0.000169437
8782,0.000139952,0.000172085
8783,0.00013674,0.000174733
8784,0.000133499,0.000177346
8785,0.000130117,0.000179781
8786,0.000126688,0.000182154
8787,0.000123258,0.000184528
8788,0.000119828,0.000186901
8789,0.000116305,0.000189135
8790,0.000112693,0.000191235
8791,0.00010906,0.000193304
8792,0.000105428,0.000195374
8793,0.000101785,0.000197423
8794,9.80E-05,0.000199254
8795,9.42E-05,0.000201005
8796,9.05E-05,0.000202756
8797,8.67E-05,0.000204507
8798,8.28E-05,0.000206127
8799,7.89E-05,0.000207587
8800,7.50E-05,0.000209006
8801,7.11E-05,0.000210424
8802,6.71E-05,0.000211842
8803,6.31E-05,0.00021302
8804,5.91E-05,0.000214105
8805,5.51E-05,0.000215191
8806,5.10E-05,0.000216276
8807,4.70E-05,0.000217244
8808,4.29E-05,0.000218022
8809,3.88E-05,0.000218745
8810,3.46E-05,0.000219469
8811,3.05E-05,0.000220193
8812,2.64E-05,0.000220698
8813,2.22E-05,0.000221097
8814,1.81E-05,0.000221488
8815,1.39E-05,0.000221879
8816,9.71E-06,0.000222172
8817,5.53E-06,0.000222253
8818,1.35E-06,0.000222267
8819,-2.83E-06,0.000222281
8820,-7.01E-06,0.000222296
8821,-1.12E-05,0.000222106
8822,-1.54E-05,0.000221791
8823,-1.95E-05,0.000221458
8824,-2.37E-05,0.000221125
8825,-2.79E-05,0.000220725
8826,-3.20E-05,0.000220115
8827,-3.61E-05,0.000219435
8828,-4.02E-05,0.000218755
8829,-4.44E-05,0.000218074
8830,-4.84E-05,0.000217205
8831,-5.25E-05,0.000216191
8832,-5.66E-05,0.000215149
8833,-6.06E-05,0.000214107
8834,-6.46E-05,0.000213022
8835,-6.86E-05,0.000211711
8836,-7.26E-05,0.000210321
8837,-7.65E-05,0.000208932
8838,-8.05E-05,0.000207543
8839,-8.44E-05,0.000206008
8840,-8.82E-05,0.000204333
8841,-9.20E-05,0.000202625
8842,-9.58E-05,0.000200918
8843,-9.97E-05,0.000199191
8844,-0.000103352,0.000197234
8845,-0.000107013,0.000195193
8846,-0.000110675,0.000193152
8847,-0.000114336,0.000191112
8848,-0.000117924,0.000188959
8849,-0.000121421,0.000186666
8850,-0.000124895,0.000184336
8851,-0.000128368,0.000182006
8852,-0.000131841,0.000179676
8853,-0.000135169,0.000177127
8854,-0.00013844,0.000174494
8855,-0.000141711,0.00017186
8856,-0.000144981,0.000169227
8857,-0.000148173,0.000166509
8858,-0.000151235,0.000163654
8859,-0.00015426,0.00016076
8860,-0.000157284,0.000157865
8861,-0.000160309,0.000154971
8862,-0.000163164,0.000151907
8863,-0.000165935,0.000148759
8864,-0.000168699,0.000145604
8865,-0.000171464,0.000142449
8866,-0.000174158,0.000139239
8867,-0.000176696,0.000135906
8868,-0.000179185,0.000132534
8869,-0.000181674,0.000129162
8870,-0.000184163,0.00012579
8871,-0.000186483,0.000122299
8872,-0.000188698,0.000118736
8873,-0.000190898,0.000115161
8874,-0.000193098,0.000111587
8875,-0.000195237,0.000107979
8876,-0.000197183,0.000104266
8877,-0.000199065,0.000100518
8878,-0.000200946,9.68E-05
8879,-0.000202827,9.30E-05
8880,-0.000204536,8.92E-05
8881,-0.000206111,8.53E-05
8882,-0.000207659,8.14E-05
8883,-0.000209208,7.75E-05
8884,-0.000210718,7.36E-05
8885,-0.00021202,6.96E-05
8886,-0.00021325,6.56E-05
8887,-0.000214481,6.16E-05
8888,-0.000215711,5.76E-05
8889,-0.000216778,5.36E-05
8890,-0.000217683,4.95E-05
8891,-0.000218552,4.54E-05
8892,-0.00021942,4.12E-05
8893,-0.000220269,3.71E-05
8894,-0.000220878,3.30E-05
8895,-0.000221399,2.88E-05
8896,-0.00022192,2.46E-05
8897,-0.000222441,2.05E-05
8898,-0.000222823,1.63E-05
8899,-0.000223029,1.21E-05
8900,-0.000223188,7.90E-06
8901,-0.000223347,3.71E-06
8902,-0.000223506,-4.92E-07
8903,-0.000223407,-4.69E-06
8904,-0.000223206,-8.89E-06
8905,-0.000223004,-1.31E-05
8906,-0.000222801,-1.73E-05
8907,-0.000222484,-2.15E-05
8908,-0.000221975,-2.56E-05
8909,-0.00022141,-2.98E-05
8910,-0.000220846,-3.40E-05
8911,-0.000220282,-3.81E-05
8912,-0.000219492,-4.23E-05
8913,-0.000218591,-4.64E-05
8914,-0.000217679,-5.05E-05
8915,-0.000216767,-5.46E-05
8916,-0.000215772,-5.87E-05
8917,-0.000214587,-6.27E-05
8918,-0.000213343,-6.67E-05
8919,-0.000212098,-7.07E-05
8920,-0.000210854,-7.47E-05
8921,-0.000209399,-7.87E-05
8922,-0.000207812,-8.26E-05
8923,-0.000206206,-8.65E-05
8924,-0.0002046,-9.04E-05
8925,-0.000202935,-9.42E-05
8926,-0.000201075,-9.80E-05
8927,-0.00019915,-0.000101733
8928,-0.000197225,-0.000105467
8929,-0.000195301,-0.000109201
8930,-0.00019322,-0.000112846
8931,-0.000191015,-0.00011642
8932,-0.000188787,-0.00011998
8933,-0.000186558,-0.00012354
8934,-0.000184294,-0.000127078
8935,-0.000181831,-0.000130493
8936,-0.000179298,-0.000133865
8937,-0.000176766,-0.000137237
8938,-0.000174233,-0.000140609
8939,-0.000171578,-0.000143871
8940,-0.000168799,-0.000147023
8941,-0.000165992,-0.000150149
8942,-0.000163184,-0.000153275
8943,-0.000160364,-0.000156389
8944,-0.000157362,-0.000159342
8945,-0.000154294,-0.000162237
8946,-0.000151226,-0.000165131
8947,-0.000148158,-0.000168025
8948,-0.000144996,-0.00017081
8949,-0.000141714,-0.000173453
8950,-0.0001384,-0.000176057
8951,-0.000135086,-0.000178662
8952,-0.000131772,-0.000181267
8953,-0.000128314,-0.000183667
8954,-0.000124798,-0.000185984
8955,-0.000121282,-0.0001883
8956,-0.000117765,-0.000190615
8957,-0.00011419,-0.000192836
8958,-0.000110514,-0.000194894
8959,-0.000106809,-0.000196906
8960,-0.000103104,-0.000198918
8961,-9.94E-05,-0.000200929
8962,-9.56E-05,-0.000202736
8963,-9.17E-05,-0.000204439
8964,-8.79E-05,-0.000206133
8965,-8.40E-05,-0.000207826
8966,-8.01E-05,-0.000209437
8967,-7.62E-05,-0.000210858
8968,-7.22E-05,-0.000212218
8969,-6.82E-05,-0.000213578
8970,-6.42E-05,-0.000214939
8971,-6.02E-05,-0.00021609
8972,-5.61E-05,-0.00021711
8973,-5.20E-05,-0.000218108
8974,-4.79E-05,-0.000219107
8975,-4.38E-05,-0.000220046
8976,-3.96E-05,-0.00022078
8977,-3.55E-05,-0.000221445
8978,-3.13E-05,-0.000222111
8979,-2.71E-05,-0.000222777
8980,-2.29E-05,-0.000223251
8981,-1.87E-05,-0.000223571
8982,-1.45E-05,-0.000223861
8983,-1.03E-05,-0.00022415
8984,-6.09E-06,-0.0002244
8985,-1.87E-06,-0.000224423
8986,2.36E-06,-0.000224365
8987,6.58E-06,-0.000224307
8988,1.08E-05,-0.000224249
8989,1.50E-05,-0.000224031
8990,1.92E-05,-0.00022365
8991,2.34E-05,-0.00022323
8992,2.76E-05,-0.000222811
8993,3.18E-05,-0.000222375
8994,3.60E-05,-0.000221686
8995,4.01E-05,-0.000220904
8996,4.43E-05,-0.000220123
8997,4.84E-05,-0.000219341
8998,5.26E-05,-0.000218429
8999,5.66E-05,-0.000217346
9000,6.07E-05,-0.000216217
9001,6.48E-05,-0.000215089
9002,6.88E-05,-0.00021396
9003,7.28E-05,-0.000212586
9004,7.68E-05,-0.000211113
9005,8.08E-05,-0.000209636
9006,8.47E-05,-0.00020816
9007,8.86E-05,-0.000206581
9008,9.25E-05,-0.000204825
9009,9.63E-05,-0.000203016
9010,0.000100133,-0.000201207
9011,0.000103954,-0.000199398
9012,0.000107663,-0.000197385
9013,0.000111316,-0.000195269
9014,0.000114963,-0.000193141
9015,0.00011861,-0.000191014
9016,0.000122211,-0.000188809
9017,0.000125704,-0.000186422
9018,0.000129163,-0.000183976
9019,0.000132622,-0.00018153
9020,0.000136081,-0.000179084
9021,0.000139415,-0.000176481
9022,0.00014267,-0.000173777
9023,0.000145912,-0.000171056
9024,0.000149153,-0.000168335
9025,0.000152352,-0.000165569
9026,0.000155399,-0.000162642
9027,0.000158394,-0.00015966
9028,0.00016139,-0.000156679
9029,0.000164386,-0.000153698
9030,0.000167243,-0.000150593
9031,0.000169986,-0.000147386
9032,0.000172707,-0.000144159
9033,0.000175428,-0.000140931
9034,0.000178119,-0.000137679
9035,0.000180628,-0.000134274
9036,0.000183074,-0.000130815
9037,0.00018552,-0.000127357
9038,0.000187966,-0.000123898
9039,0.000190278,-0.000120357
9040,0.000192453,-0.00011673
9041,0.000194595,-0.000113083
9042,0.000196737,-0.000109436
9043,0.000198866,-0.000105782
9044,0.000200771,-0.000101995
9045,0.000202594,-9.82E-05
9046,0.000204418,-9.43E-05
9047,0.000206241,-9.05E-05
9048,0.000207941,-8.66E-05
9049,0.000209476,-8.27E-05
